ObjectID,ObjectNumber,Title,Latitude,Longitude
30593,y1967-6,"LANDSCAPE, TRIPTYCH",40.3452,NULL
31176,y1968-534,HUMAN CONDITION,40.3475,-74.6585
31205,y1969-130,CONSTRUCTION IN THE THIRD AND FOURTH DIMENSION,40.3451,-74.6519
31239,y1969-22,SONG OF THE VOWELS,40.3489,-74.6575
31285,y1969-18,ATMOSPHERE AND ENVIRONMENT X,40.349866,-74.658273
31339,y1969-131,HEAD OF A WOMAN,40.3443,-74.6593
31352,y1969-129,WHITE SUN,40.3493,-74.6575
31380,y1970-115,PROFESSOR ALBERT EINSTEIN,40.3458,-74.6527
31393,y1969-126,FIVE DISKS: ONE EMPTY,40.3455,-74.6522
31408,y1969-104,MOSES,40.3477,-74.6569
31413,y1969-20,SPHERE VI,40.3456,-74.6522
31416,y1969-72,FLOATING FIGURE,40.3407,-74.667
31445,y1969-127,THE BRIDE,40.3484,-74.6621
31464,y1969-128,OVAL WITH POINTS,40.3483,-74.6598
31481,y1969-16,NORTHWOOD II,40.3411,-74.6661
31482,y1969-19,CUBI XIII,40.3478,-74.6581
31499,y1969-21,MAROK-MAROK-MIOSA,40.3504,-74.6525
31505,y1972-42,TWO PLANES VERTICAL HORIZONTAL II,40.3484,-74.6578
31516,y1969-81,MASTODON VI,40.3424,-74.6566
31575,y1972-41,STONE RIDDLE,40.3505,-74.6511
31716,y1971-13,UPSTART II,40.3508,-74.6518
31772,y1978-49,"ABRAHAM AND ISAAC: IN MEMORY OF MAY 4, 1970, KENT STATE UNIVERSITY",40.3491,-74.6567
31846,y1971-25,CENTAUR,40.3466,-74.6565
32524,y1980-11,PUBLIC TABLE,40.3483,-74.6581
43912,PP287.1,ONE OF A PAIR OF TIGERS,40.3488,-74.6594
44718,PP36,JAMES MCCOSH (1811-1894),40.3488,-74.6569
44722,PP364,"JAMES V. FORRESTAL, CLASS OF 1915",40.3507,-74.6509
45145,PP166,OLIVER ELLSWORTH (1745-1807),40.348823,-74.658688
45176,PP173,"JAMES MADISON, CLASS OF 1771 (1751-1836)",40.348698,-74.658646
45205,PP216,BENJAMIN FRANKLIN (1706-1790),40.346976,-74.655198
45223,PP22,JOHN WITHERSPOON (1723-1794),40.348682,-74.658511
45356,PP63,JOSEPH HENRY (1797-1878),40.346000,-74.655295
45448,PP38,JAMES MCCOSH (1811-1894),40.348776,-74.658548
45570,PP518,THE WORLD,40.3485,-74.6547
45571,PP519,FOUNTAIN OF FREEDOM,40.3487,-74.6549
45593,PP530,THERMOPYLAE,40.3507,-74.6508
45706,PP90,"ANDREW FLEMING WEST, CLASS OF 1874 (1853–1943)",40.3409,-74.6652
54819,2007-96,WENDE,40.350274,-74.652014
55453,PP617,"WALL DRAWING #1134, WHIRLS AND TWIRLS (PRINCETON)",40.3434,-74.6562
55459,PP618,THE HEDGEHOG AND THE FOX,40.3462,-74.6519
55813,PP628,UNTITLED (ORFE/SEAS),40.3496,-74.6528
55830,L.2008.21,PLACES OF REMEMBRANCE,40.3448,-74.6585
55841,PP629,CLOUDS NINE,40.3488,-74.6585
56305,PP635,JOHN WITHERSPOON (1723-1794),40.3486,-74.658
57207,PP636.1,ONE OF A PAIR OF TOPIARY TIGERS,40.3469,-74.6505
57208,PP636.2,ONE OF A PAIR OF TOPIARY TIGERS,40.3468,-74.6507
57212,PP287.2,ONE OF A PAIR OF TIGERS,40.3488,-74.6594
57262,PP637,MATHER SUN DIAL,40.3486,-74.6566
57306,PP638,REMEMBRANCE,40.3489,-74.6587
57751,PP639,UP AND AWAY,40.3441,-74.6558
57752,PP640,RHUMBA,40.3499,-74.6519
57753,PP641,STONE MANCALA TABLE,40.3506,-74.6521
59718,PP643,RESONANCE,40.3441,-74.6508
61850,PP646,HORSE-HEAD CONFERENCE ROOM,40.3443,-74.6531
62866,PP657,BAS-RELIEF ON SOUTH FACADE OF ALEXANDER HALL DEPICTING  ARTS & SCIENCES PAYING TRIBUTE TO LEARNING,40.3482,-74.6605
81122,L.2012.27.1-.12,CIRCLE OF ANIMALS/ZODIAC HEADS,40.3435,-74.6593
86634,PP693,ORRERY,40.3466,-74.6517
86950,y1971-43-44,WELLHEADS,40.3474,-74.6574
86951,PP287.1-.2,PAIR OF TIGERS,40.3488,-74.6594
86952,PP308.1-.2,PAIR OF LIONS,40.3448,-74.6555
86953,PP494.1-.2,PAIR OF TIGERS,40.3477,-74.6588
86954,PP636.1-.2,PAIR OF TOPIARY TIGERS,40.3469,-74.6505
101159,PP695,STARDUST,40.3443,-74.6578
103470,L.2014.29,THETIS CIRCLE,40.3448,-74.6579
107443,PP696,BILL BRADLEY,40.344,-74.6489
112011,2015-6737,(ANY) BODY ODDLY PROPPED,40.3476,-74.6576
112316,2015-6739,URODA,40.3496,-74.6513
134355,2018-88,THE PRINCETON LINE,NULL,NULL
134355,2018-88,THE PRINCETON LINE,40.342974,-74.65938
